title,artist,top genre,year,energy,danceability,liveness,length,popularity
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,83,67,10,238,72
Lean On,Major Lazer,dance pop,2015,81,72,56,177,71
Despacito - Remix,Luis Fonsi,latin,2019,80,65,7,230,70
Lose Yourself,Eminem,detroit hip hop,2014,74,69,37,321,70
Without Me (with Juice WRLD),Halsey,dance pop,2019,51,74,18,229,67
One Dance,Drake,canadian hip hop,2016,61,79,32,174,66
Sugar,Maroon 5,pop,2015,79,75,9,235,66
Emotions,Mark Mendy,pop dance,2021,83,66,40,172,66
Cold Water,Major Lazer,dance pop,2018,80,61,16,185,56
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,73,67,9,198,53
